epoch,acc,loss,my_acc,val_acc,val_loss,val_my_acc
0,0.961,0.17868450140357017,0.8664,0.97475,0.12322519716620445,0.9078
1,0.97265,0.1411340910553932,0.9004,0.98165,0.10838670683503152,0.9322
2,0.9765,0.12325536369085312,0.9126,0.973,0.14305393036603928,0.901
3,0.97695,0.12803091636896133,0.912,0.98305,0.11383362587690353,0.938
4,0.98175,0.11494785368442535,0.9288,0.98335,0.1098958951473236,0.9392
5,0.9831,0.11029981124401092,0.9338,0.98655,0.10045465543270111,0.9512
6,0.98695,0.09903374264240265,0.9496,0.9856,0.11010103674530983,0.9472
7,0.98755,0.09973396270275116,0.9518,0.9865,0.10677275682687759,0.9506
8,0.99075,0.08854224475622177,0.9634,0.98745,0.10194599390029907,0.954
9,0.99235,0.0845679883658886,0.9694,0.98815,0.09663618807792664,0.9564
10,0.99435,0.07747436393499374,0.9778,0.98785,0.09887079713344574,0.9554
11,0.99445,0.07547131164073945,0.978,0.9899,0.09167947314977645,0.9644
12,0.99545,0.07130491171479225,0.9818,0.9885,0.09665484193563462,0.9576
13,0.99655,0.06713904731869698,0.9862,0.99035,0.0867455672442913,0.9652
14,0.99695,0.06479799364805222,0.988,0.99155,0.08371683770418167,0.9696
15,0.9976,0.062249233090877536,0.9904,0.9918,0.07881515452861786,0.9702
16,0.9985,0.05765593999624252,0.994,0.9912,0.08075510383844375,0.9674
17,0.9989,0.055059619081020354,0.9956,0.9923,0.07324352507591247,0.972
18,0.9972,0.057007660555839536,0.9888,0.99125,0.07809208971261979,0.9678
19,0.9978,0.05547304207086563,0.9914,0.9925,0.07362183523178101,0.9724
20,0.9966,0.057799442946910855,0.9866,0.99015,0.08371546105146407,0.9626
21,0.9974,0.05604525674581528,0.9896,0.9925,0.07347659782767296,0.9724
22,0.99775,0.053749735605716706,0.991,0.99115,0.07797930365800858,0.9682
23,0.9972,0.05352844076752663,0.9888,0.99245,0.07271181225776673,0.9726
24,0.99785,0.051148377203941345,0.9916,0.9931,0.06670032331347465,0.9754
25,0.99855,0.04858110477924347,0.9942,0.9939,0.0640880617260933,0.9774
26,0.99805,0.04865616147518158,0.9922,0.9934,0.06419848538637161,0.9764
27,0.9992,0.044989342051744464,0.9968,0.9933,0.06235973396897316,0.976
28,0.9987,0.04483620080351829,0.9948,0.99305,0.0627425201535225,0.975
29,0.99895,0.04332694791555405,0.9958,0.9939,0.059320753329992294,0.9778
30,0.9992,0.04126803774833679,0.9968,0.99385,0.05854451234340668,0.9778
31,0.99915,0.04102920579910278,0.9966,0.9936,0.05960131281018257,0.9766
32,0.99905,0.04064081923961639,0.9962,0.9934,0.05841687426567078,0.9768
33,0.9993,0.03883892569541931,0.9972,0.99435,0.05511490241289139,0.9798
34,0.99975,0.03730590217113495,0.999,0.99425,0.05305055512189865,0.9794
35,0.99915,0.036899866211414334,0.9966,0.99405,0.05373678660988808,0.9788
36,0.99955,0.0357667884349823,0.9982,0.994,0.05387451192140579,0.9784
37,0.99925,0.03578786868453026,0.997,0.9942,0.051655380606651306,0.979
38,0.9997,0.034004591751098635,0.9988,0.9943,0.049520146635174754,0.9792
39,0.99895,0.0353327879011631,0.9958,0.99335,0.051396872115135196,0.976
40,0.9994,0.03342020043730736,0.9976,0.9949,0.04767266088724136,0.9812
41,0.9994,0.033354117608070374,0.9976,0.99495,0.04766520493030548,0.982
42,0.99935,0.033179477381706235,0.9974,0.99445,0.04862233857512474,0.9798
43,0.9995,0.031529608324170115,0.998,0.9941,0.04901421474218368,0.979
44,0.99995,0.030032269108295442,0.9998,0.99475,0.045219650733470916,0.9806
45,0.9999,0.02921554001867771,0.9996,0.99485,0.04438381712436676,0.9816
46,0.9996,0.02934554073214531,0.9984,0.99515,0.0439234597325325,0.982
47,0.99965,0.02861425918340683,0.9986,0.9944,0.04392963297367096,0.9806
48,0.9997,0.027852082896232606,0.9988,0.9949,0.04218610793352127,0.982
49,0.99955,0.027919266739487646,0.9982,0.9947,0.042677299129962924,0.981
50,0.9997,0.02694649313688278,0.9988,0.9942,0.043695878344774244,0.9788
